epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9998,1.25731,4.81588,0.01379,0.00333,1,0.00973,0.00627,0.71899,5.30198,0.00664,0.000638889,0.000638889,0.000638889
2,55.769,1.29579,4.48535,0.01095,0.00333,1,0.16933,0.05308,0.83609,5.42403,0.00835,0.00114399,0.00114399,0.00114399
3,82.7152,1.07807,4.41469,0.01141,0.00333,1,0.16933,0.05308,0.83609,5.42403,0.00835,0.0014841,0.0014841,0.0014841
4,110.296,0.99626,4.0832,0.00966,0.00333,1,0.04786,0.03007,0.77441,5.10324,0.0078,0.0012575,0.0012575,0.0012575
5,137.1,0.92586,3.95115,0.00961,0.00333,1,0.66005,0.48016,0.89948,4.59094,0.00907,0.00101,0.00101,0.00101
6,164.419,1.11452,3.72837,0.01095,0.56502,0.66667,0.84672,0.62726,0.88309,4.10842,0.00845,0.0007625,0.0007625,0.0007625
7,191.308,0.96669,3.48119,0.01051,0.56502,0.66667,0.84672,0.62726,0.88309,4.10842,0.00845,0.000515,0.000515,0.000515
8,218.351,1.10469,3.75314,0.01267,0.81271,0.83333,0.94167,0.73894,0.81904,4.07846,0.00749,0.0002675,0.0002675,0.0002675
